
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.638		0.7163	0.0038	0.0025		20.000
React-ive[2]		220.0	-43.2	0.2660	0.638		0.7163	0.0061	0.0041		20.000
React-ive[3]		220.0	-43.2	0.2660	0.638		0.7163	0.0075	0.0050		20.000
React-ive[4]		220.0	-43.2	0.2660	0.638		0.7163	0.0083	0.0055		20.000
React-ive[5]		220.0	-43.2	0.2660	0.638		0.7162	0.0088	0.0059		20.000
React-ive[6]		220.0	-43.2	0.2660	0.638		0.7160	0.0091	0.0061		20.000
React-ive[7]		220.0	-43.2	0.2660	0.638		0.7158	0.0093	0.0062		20.000
React-ive[8]		220.0	-43.2	0.2660	0.638		0.7154	0.0094	0.0063		20.000
React-ive[9]		220.0	-43.2	0.2660	0.638		0.7148	0.0095	0.0063		20.000
React-ive[10]		220.0	-43.2	0.2660	0.639		0.7138	0.0095	0.0063		20.000
React-ive[11]		220.0	-43.2	0.2660	0.639		0.7120	0.0096	0.0064		20.000
React-ive[12]		220.0	-43.2	0.2660	0.640		0.7092	0.0096	0.0064		20.000
React-ive[13]		220.0	-43.2	0.2660	0.642		0.7043	0.0096	0.0064		20.000
React-ive[14]		220.0	-43.2	0.2660	0.644		0.6963	0.0096	0.0064		20.000
React-ive[15]		220.0	-43.2	0.2660	0.649		0.6829	0.0096	0.0064		20.000
React-ive[16]		220.0	-43.2	0.2660	0.656		0.6607	0.0096	0.0064		20.000
React-ive[17]		220.0	-43.2	0.2660	0.669		0.6235	0.0096	0.0064		20.000
React-ive[18]		220.0	-43.2	0.2660	0.692		0.5616	0.0096	0.0064		20.000
React-ive[19]		220.0	-43.2	0.2660	0.733		0.4585	0.0096	0.0064		20.000
React-ive[20]		220.0	-43.2	0.2660	0.815		0.2865	0.0096	0.0064		20.000
============================================================================================================
2018-07-09 13:59:36 - Function time
Elapsed time: 0:00:11
Total time:   0:01:11
============================================================================================================

> Working on PR ratio = 0.20
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.471		1.8884	0.0051	0.0012		20.000
React-ive[2]		220.0	-43.2	0.2660	0.472		1.8829	0.0092	0.0023		20.000
React-ive[3]		220.0	-43.2	0.2660	0.473		1.8760	0.0125	0.0031		20.000
React-ive[4]		220.0	-43.2	0.2660	0.474		1.8674	0.0151	0.0037		20.000
React-ive[5]		220.0	-43.2	0.2660	0.475		1.8566	0.0172	0.0043		20.000
React-ive[6]		220.0	-43.2	0.2660	0.477		1.8432	0.0189	0.0047		20.000
React-ive[7]		220.0	-43.2	0.2660	0.479		1.8264	0.0203	0.0050		20.000
React-ive[8]		220.0	-43.2	0.2660	0.482		1.8054	0.0213	0.0053		20.000
React-ive[9]		220.0	-43.2	0.2660	0.486		1.7791	0.0222	0.0055		20.000
React-ive[10]		220.0	-43.2	0.2660	0.491		1.7463	0.0229	0.0057		20.000
React-ive[11]		220.0	-43.2	0.2660	0.496		1.7053	0.0234	0.0058		20.000
React-ive[12]		220.0	-43.2	0.2660	0.504		1.6540	0.0239	0.0059		20.000
React-ive[13]		220.0	-43.2	0.2660	0.514		1.5899	0.0242	0.0060		20.000
React-ive[14]		220.0	-43.2	0.2660	0.527		1.5098	0.0245	0.0061		20.000
React-ive[15]		220.0	-43.2	0.2660	0.544		1.4096	0.0247	0.0062		20.000
React-ive[16]		220.0	-43.2	0.2660	0.567		1.2844	0.0249	0.0062		20.000
React-ive[17]		220.0	-43.2	0.2660	0.598		1.1279	0.0251	0.0062		20.000
React-ive[18]		220.0	-43.2	0.2660	0.643		0.9323	0.0252	0.0063		20.000
React-ive[19]		220.0	-43.2	0.2660	0.710		0.6877	0.0253	0.0063		20.000
React-ive[20]		220.0	-43.2	0.2660	0.815		0.3820	0.0254	0.0063		20.000
============================================================================================================
2018-07-09 13:59:47 - Function time
Elapsed time: 0:00:11
Total time:   0:01:23
============================================================================================================

> Working on PR ratio = 0.00
------------------------------------------------------------------------------------------------------------
