
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[4]		220.0	-43.2	0.2660	0.726		0.3178	0.0041	0.0062		20.000
React-ive[5]		220.0	-43.2	0.2660	0.726		0.3171	0.0042	0.0063		20.000
React-ive[6]		220.0	-43.2	0.2660	0.727		0.3151	0.0042	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.730		0.3102	0.0042	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.738		0.2980	0.0042	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.759		0.2674	0.0042	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.1910	0.0042	0.0064		20.000
============================================================================================================
2018-07-06 15:18:21 - Elapsed time from last log
Elapsed time: 0:00:05
============================================================================================================

> Working on PR ratio = 0.50
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.688		0.4771	0.0032	0.0032		20.000
React-ive[2]		220.0	-43.2	0.2660	0.688		0.4766	0.0048	0.0048		20.000
React-ive[3]		220.0	-43.2	0.2660	0.688		0.4757	0.0056	0.0056		20.000
React-ive[4]		220.0	-43.2	0.2660	0.689		0.4738	0.0060	0.0060		20.000
React-ive[5]		220.0	-43.2	0.2660	0.691		0.4701	0.0062	0.0062		20.000
React-ive[6]		220.0	-43.2	0.2660	0.694		0.4626	0.0063	0.0063		20.000
React-ive[7]		220.0	-43.2	0.2660	0.701		0.4477	0.0063	0.0063		20.000
React-ive[8]		220.0	-43.2	0.2660	0.715		0.4179	0.0064	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.746		0.3582	0.0064	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.2388	0.0064	0.0064		20.000
============================================================================================================
2018-07-06 15:18:26 - Elapsed time from last log
Elapsed time: 0:00:05
============================================================================================================

> Working on PR ratio = 0.40
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.639		0.7120	0.0038	0.0025		20.000
React-ive[2]		220.0	-43.2	0.2660	0.640		0.7092	0.0061	0.0041		20.000
React-ive[3]		220.0	-43.2	0.2660	0.642		0.7043	0.0075	0.0050		20.000
React-ive[4]		220.0	-43.2	0.2660	0.644		0.6963	0.0083	0.0055		20.000
React-ive[5]		220.0	-43.2	0.2660	0.649		0.6829	0.0088	0.0059		20.000
React-ive[6]		220.0	-43.2	0.2660	0.656		0.6607	0.0091	0.0061		20.000
React-ive[7]		220.0	-43.2	0.2660	0.669		0.6235	0.0093	0.0062		20.000
React-ive[8]		220.0	-43.2	0.2660	0.692		0.5616	0.0094	0.0063		20.000
React-ive[9]		220.0	-43.2	0.2660	0.733		0.4585	0.0095	0.0063		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.2865	0.0095	0.0063		20.000
============================================================================================================
2018-07-06 15:18:32 - Elapsed time from last log
Elapsed time: 0:00:05
============================================================================================================

> Working on PR ratio = 0.30
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.576		1.0829	0.0045	0.0019		20.000
React-ive[2]		220.0	-43.2	0.2660	0.579		1.0694	0.0076	0.0032		20.000
React-ive[3]		220.0	-43.2	0.2660	0.584		1.0501	0.0098	0.0042		20.000
React-ive[4]		220.0	-43.2	0.2660	0.590		1.0226	0.0113	0.0048		20.000
React-ive[5]		220.0	-43.2	0.2660	0.599		0.9833	0.0124	0.0053		20.000
React-ive[6]		220.0	-43.2	0.2660	0.613		0.9271	0.0132	0.0056		20.000
React-ive[7]		220.0	-43.2	0.2660	0.635		0.8468	0.0137	0.0058		20.000
React-ive[8]		220.0	-43.2	0.2660	0.668		0.7321	0.0141	0.0060		20.000
React-ive[9]		220.0	-43.2	0.2660	0.721		0.5683	0.0143	0.0061		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.3343	0.0145	0.0062		20.000
============================================================================================================
2018-07-06 15:18:36 - Elapsed time from last log
Elapsed time: 0:00:04
============================================================================================================

> Working on PR ratio = 0.20
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.497		1.7053	0.0051	0.0012		20.000
React-ive[2]		220.0	-43.2	0.2660	0.504		1.6540	0.0092	0.0023		20.000
React-ive[3]		220.0	-43.2	0.2660	0.514		1.5899	0.0125	0.0031		20.000
